index	P(0)	P(1)	P(2)	Pw	Cd0(0)	Cd0(1)	Cd0(2)	N(0)	N(1)	N(2)	Cd(0)	Cd(1)	Cd(2)	Cd(3)
5347	-0.647239	0.999561	-0.0432865	1	0.462077	0.277861	0.21208	-0.295972	0.224167	0.92852	1.42478	0.606572	0.408077	1
5348	-0.651172	0.984786	-0.0516723	1	0.380471	0.216094	0.157278	0.676994	-0.735977	-0.00407352	1.21998	0.485491	0.313723	1
5349	-0.652055	0.98567	-0.0465484	1	0.417885	0.254152	0.198069	0.562971	-0.602267	0.565984	1.28168	0.521657	0.342235	1
5350	-0.652079	0.985749	-0.0570911	1	0.376262	0.21075	0.154496	0.535028	-0.568295	-0.625129	1.19505	0.465072	0.298113	1
5351	-0.6544	0.988238	-0.0438992	1	0.417885	0.244306	0.181428	0.197897	-0.208841	0.957717	1.33955	0.550436	0.363962	1
5352	-0.654714	0.988486	-0.0591188	1	0.38296	0.197486	0.147027	0.154911	-0.144946	-0.977238	1.23019	0.477811	0.305306	1
5353	-0.65683	0.991758	-0.0440774	1	0.449861	0.263347	0.215209	-0.266191	0.314414	0.9112	1.39077	0.583623	0.393993	1
5354	-0.659034	0.994041	-0.0475317	1	0.487018	0.306419	0.247468	-0.572192	0.673835	0.467485	1.44158	0.628035	0.429567	1
5355	-0.659737	0.994721	-0.0518402	1	0.488827	0.307795	0.248681	-0.651973	0.758242	-0.00104839	1.46666	0.648421	0.438717	1
5356	-0.659194	0.993993	-0.0559602	1	0.501068	0.303043	0.225834	-0.557277	0.673032	-0.486281	1.43235	0.616282	0.400521	1
5357	-0.657318	0.991694	-0.0589515	1	0.426171	0.254756	0.194471	-0.243749	0.318692	-0.915981	1.33051	0.542288	0.345059	1
5358	-0.663344	0.990437	-0.047232	1	0.422297	0.242846	0.17408	-0.665937	0.601919	0.440707	1.34969	0.566613	0.373791	1
5359	-0.664114	0.990995	-0.0518074	1	0.422087	0.257327	0.202098	-0.755319	0.65532	0.00698912	1.37009	0.587696	0.389604	1
5360	-0.663437	0.990468	-0.0562508	1	0.40037	0.24109	0.180556	-0.659899	0.602356	-0.449112	1.31935	0.544217	0.347231	1
5361	-0.661166	0.988882	-0.0593835	1	0.385906	0.199088	0.129894	-0.279588	0.306201	-0.909984	1.21073	0.467811	0.291437	1
5362	-0.656789	0.985734	-0.0437655	1	0.412933	0.222881	0.157645	0.223719	-0.193535	0.955246	1.26196	0.489053	0.310808	1
5363	-0.661021	0.988813	-0.0438057	1	0.403966	0.225124	0.163206	-0.299448	0.300426	0.90558	1.30107	0.519323	0.334388	1
5364	-0.654028	0.983713	-0.0462544	1	0.368317	0.190967	0.14836	0.594408	-0.570418	0.566835	1.22196	0.468286	0.30209	1
5365	-0.652836	0.982832	-0.0517115	1	0.377869	0.203304	0.151858	0.718486	-0.695529	0.00411671	1.17437	0.442707	0.285883	1
5366	-0.6542	0.983838	-0.0578557	1	0.376262	0.198574	0.148418	0.567238	-0.50856	-0.647772	1.13577	0.421471	0.270804	1
5367	-0.65757	0.98637	-0.0594625	1	0.359482	0.177889	0.132868	0.166789	-0.0965238	-0.981257	1.13341	0.417544	0.265171	1
